SOMAscan ID,UniProt ID,Gene,Protein,#SNP,Internal_R2,Internal_Rho,FENLAND_R2,FENLAND_Rho,FENLAND_MissingRate,MEC_CN_R2,MEC_CN_Rho,MEC_CN_MissingRate,MEC_IN_R2,MEC_IN_Rho,MEC_IN_MissingRate,MEC_MA_R2,MEC_MA_Rho,MEC_MA_MissingRate,JHS_R2,JHS_Rho,JHS_MissingRate
NCF2.10047.12.3,P19878,NCF2,Neutrophil cytosol factor 2,89,0.216,0.455,0.043,0.174,0.034,0.001,0.031,0.168,0.003,-0.06,0.168,0.001,-0.036,0.168,,,
CBFB.10048.7.3,Q13951,CBFB,Core-binding factor subunit beta,24,0.047,0.203,0.0,0.005,0.0,0.0,-0.014,0.125,0.0,0.02,0.125,0.003,-0.051,0.125,,,
RAD23A.10058.1.3,P54725,RAD23A,UV excision repair protein RAD23 homolog A,2,0.014,0.11,0.0,0.019,0.0,0.001,0.045,0.5,0.0,0.001,0.5,0.007,0.09,0.5,,,
PLCG2.10070.22.3,P16885,PLCG2,1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase gamma-2,57,0.096,0.291,0.0,-0.001,0.018,0.001,0.019,0.105,0.0,0.014,0.105,0.006,0.055,0.105,,,
ACBD6.10075.75.3,Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6,27,0.054,0.22,0.0,0.007,0.0,0.005,0.067,0.111,0.0,-0.02,0.111,0.005,0.04,0.111,,,
AP4M1.10076.1.3,O00189,AP4M1,AP-4 complex subunit mu-1,25,0.068,0.265,0.0,0.01,0.0,0.001,-0.017,0.08,0.001,-0.012,0.08,0.0,0.02,0.08,,,
BAG3.10078.5.3,O95817,BAG3,BAG family molecular chaperone regulator 3,1,0.012,0.099,0.002,0.042,0.0,0.0,-0.019,0.0,0.0,0.009,0.0,0.004,0.085,0.0,,,
EIF2B1.10080.9.3,Q14232,EIF2B1,Translation initiation factor eIF-2B subunit alpha,19,0.038,0.196,0.0,0.004,0.0,0.0,0.006,0.105,0.003,-0.036,0.105,0.001,0.042,0.105,,,
STAR.10085.25.3,P49675,STAR,Steroidogenic acute regulatory protein_ mitochondrial,5,0.028,0.148,0.002,0.041,0.0,0.001,0.036,0.2,0.006,0.097,0.2,0.001,-0.005,0.2,,,
APRT.10088.37.3,P07741,APRT,Adenine phosphoribosyltransferase,37,0.066,0.249,0.0,-0.003,0.0,0.002,0.048,0.081,0.0,-0.01,0.081,0.005,0.06,0.081,,,
ASMTL.10089.7.3,O95671,ASMTL,N-acetylserotonin O-methyltransferase-like protein,5,0.015,0.116,0.0,0.001,0.0,0.0,0.008,0.0,0.0,-0.032,0.0,0.003,0.072,0.0,,,
IL10RA.10344.334.3,Q13651,IL10RA,Interleukin-10 receptor subunit alpha,38,0.093,0.308,0.022,0.149,0.026,0.01,0.126,0.105,0.008,0.086,0.105,0.027,0.163,0.105,0.018,0.135,0.211
STAT3.10346.5.3,P40763,STAT3,Signal transducer and activator of transcription 3,36,0.058,0.234,0.0,-0.007,0.0,0.0,0.038,0.083,0.0,0.01,0.083,0.009,0.093,0.083,0.0,0.018,0.417
STAT3.10354.57.3,P40763,STAT3,Signal transducer and activator of transcription 3,47,0.023,0.139,,,,,,,,,,,,,,,
OAS1.10361.25.3,P00973,OAS1,2'-5'-oligoadenylate synthase 1,26,0.058,0.234,0.0,0.026,0.0,0.002,0.05,0.077,0.001,0.026,0.077,0.001,-0.059,0.077,0.0,0.031,0.231
MYC.10362.35.3,P01106,MYC,Myc proto-oncogene protein,1,0.013,0.092,,,,0.0,,0.0,0.0,-0.015,0.0,0.0,0.023,0.0,,,
SMAD3.10363.13.3,P84022,SMAD3,Mothers against decapentaplegic homolog 3,14,0.029,0.144,0.0,-0.003,0.0,0.001,0.03,0.143,0.0,0.017,0.143,0.007,0.073,0.143,0.0,-0.023,0.429
SMAD2.10364.6.3,Q15796,SMAD2,Mothers against decapentaplegic homolog 2,27,0.055,0.224,0.0,-0.002,0.0,0.002,0.046,0.148,0.0,-0.006,0.148,0.004,0.078,0.148,0.0,-0.013,0.481
IL12B.IL23A.10365.132.3,Q9NPF7|P29460,IL12B|IL23A,Interleukin-23,20,0.063,0.252,0.104,0.316,0.0,0.069,0.259,0.05,0.055,0.235,0.05,0.066,0.237,0.05,,,
PDGFRA.10366.11.3,P16234,PDGFRA,Platelet-derived growth factor receptor alpha,51,0.145,0.233,0.117,0.159,0.059,0.0,-0.004,0.314,0.002,0.019,0.314,0.001,0.029,0.314,0.015,0.031,0.294
STAT1.10370.21.3,P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,36,0.058,0.238,0.0,-0.003,0.0,0.0,0.002,0.056,0.0,-0.022,0.056,0.005,0.075,0.056,0.0,0.008,0.361
STAT6.10372.18.3,P42226,STAT6,Signal transducer and activator of transcription 6,69,0.125,0.342,0.0,-0.009,0.014,0.0,0.022,0.101,0.0,0.022,0.101,0.002,0.024,0.101,0.0,-0.001,0.362
SCARA5.10419.1.3,Q6ZMJ2,SCARA5,Scavenger receptor class A member 5,9,0.027,0.154,0.019,0.13,0.0,0.003,0.075,0.0,0.007,0.083,0.0,0.017,0.15,0.0,,,
KIR2DS2.10428.1.3,P43631,KIR2DS2,Killer cell immunoglobulin-like receptor 2DS2,534,0.256,0.513,0.055,0.224,0.346,0.025,0.166,0.27,0.011,0.096,0.27,0.024,0.138,0.27,,,
AMY2B.10439.57.3,P19961,AMY2B,Alpha-amylase 2B,16,0.061,0.234,,,,,,,,,,,,,,,
CLMP.10440.26.3,Q9H6B4,CLMP,CXADR-like membrane protein,9,0.032,0.186,0.03,0.177,0.0,0.007,0.112,0.0,0.034,0.192,0.0,0.006,0.077,0.0,,,
TMEM190.10442.1.3,Q8WZ59,TMEM190,Transmembrane protein 190,106,0.474,0.666,0.53,0.698,0.0,0.487,0.645,0.075,0.531,0.721,0.075,0.598,0.759,0.075,,,
APOM.10445.20.3,O95445,APOM,Apolipoprotein M,18,0.038,0.173,0.021,0.123,0.0,0.142,0.339,0.0,0.012,0.04,0.0,0.16,0.373,0.0,,,
PABPC3.10447.18.3,Q9H361,PABPC3,Polyadenylate-binding protein 3,15,0.035,0.173,0.0,0.004,0.0,0.0,-0.008,0.067,0.002,-0.028,0.067,0.002,0.036,0.067,,,
IL31.10455.196.3,Q6EBC2,IL31,Interleukin-31,36,0.087,0.298,0.149,0.401,0.028,0.219,0.467,0.0,0.193,0.435,0.0,0.177,0.402,0.0,,,
CHIT1.10460.1.3,Q13231,CHIT1,Chitotriosidase-1,50,0.32,0.538,,,,,,,,,,,,,,,
ALPI.10463.23.3,P09923,ALPI,Intestinal-type alkaline phosphatase,20,0.039,0.21,,,,,,,,,,,,,,,
RPN1.10490.3.3,P04843,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,21,0.049,0.22,0.003,0.048,0.0,0.0,0.004,0.095,0.001,-0.027,0.095,0.001,0.025,0.095,,,
TMEM106A.10499.1.3,Q96A25,TMEM106A,Transmembrane protein 106A,28,0.041,0.198,0.001,0.026,0.0,0.001,-0.047,0.036,0.003,-0.054,0.036,0.0,-0.003,0.036,,,
COL6A3.10511.10.3,P12111,COL6A3,Collagen alpha-3(VI) chain,1,0.012,0.072,0.0,0.001,0.0,,,,,,,,,,,,
CSF2RB.10512.13.3,P32927,CSF2RB,Cytokine receptor common subunit beta,5,0.047,0.202,0.291,0.536,0.0,0.218,0.477,0.0,0.279,0.505,0.0,0.263,0.545,0.0,,,
PTGDS.10514.5.3,P41222,PTGDS,Prostaglandin-H2 D-isomerase,5,0.02,0.133,0.026,0.153,0.0,0.005,0.067,0.2,0.016,0.129,0.2,0.002,0.006,0.2,,,
MXRA8.10521.10.3,Q9BRK3,MXRA8,Matrix-remodeling-associated protein 8,1,0.012,0.098,0.003,0.062,0.0,0.001,0.007,0.0,0.0,-0.008,0.0,0.001,0.046,0.0,,,
KLRC4.10552.88.3,O43908,KLRC4,NKG2-F type II integral membrane protein,13,0.023,0.158,0.0,-0.003,0.0,0.001,0.057,0.154,0.0,0.01,0.154,0.005,0.079,0.154,,,
TEX29.10557.6.3,Q8N6K0,TEX29,Testis-expressed sequence 29 protein,61,0.2,0.465,0.077,0.277,0.0,0.03,0.185,0.066,0.036,0.184,0.066,0.034,0.183,0.066,,,
LYSMD3.10563.13.3,Q7Z3D4,LYSMD3,LysM and putative peptidoglycan-binding domain-containing protein 3,1,0.011,0.08,0.0,0.001,0.0,0.0,0.002,0.0,0.0,-0.026,0.0,0.0,-0.005,0.0,,,
SLITRK3.10565.19.3,O94933,SLITRK3,SLIT and NTRK-like protein 3,16,0.069,0.212,0.058,0.209,0.0,0.022,0.085,0.062,0.033,0.174,0.062,0.035,0.128,0.062,,,
CST8.10572.65.3,O60676,CST8,Cystatin-8,46,0.233,0.386,0.148,0.305,0.0,0.187,0.356,0.239,0.34,0.52,0.239,0.302,0.423,0.239,,,
PUF60.10575.31.3,Q9UHX1,PUF60,Poly(U)-binding-splicing factor PUF60,17,0.057,0.252,0.0,0.012,0.0,0.005,0.056,0.0,0.003,-0.026,0.0,0.0,-0.011,0.0,,,
SFTA2.10580.14.3,Q6UW10,SFTA2,Surfactant-associated protein 2,2,0.013,0.121,0.001,0.041,0.0,0.001,-0.03,0.0,0.004,0.072,0.0,0.006,0.082,0.0,,,
NDUFS4.10584.7.3,O43181,NDUFS4,NADH dehydrogenase [ubiquinone] iron-sulfur protein 4_ mitochondrial,185,0.35,0.569,0.419,0.611,0.032,0.081,0.125,0.195,0.398,0.565,0.195,0.123,0.268,0.195,,,
CLGN.10600.24.3,O14967,CLGN,Calmegin,1,0.015,0.101,0.012,0.123,0.0,0.0,,0.0,0.003,0.072,0.0,0.011,-0.08,0.0,,,
HTN3.10603.1.3,P15516,HTN3,Histatin-3,6,0.018,0.107,0.0,-0.005,0.0,0.0,0.019,0.167,0.024,0.132,0.167,0.001,-0.008,0.167,,,
APMAP.10605.22.3,Q9HDC9,APMAP,Adipocyte plasma membrane-associated protein,14,0.042,0.204,0.015,0.122,0.0,0.002,0.067,0.071,0.001,0.012,0.071,0.001,0.007,0.071,,,
TOR1AIP1.10606.34.3,Q5JTV8,TOR1AIP1,Torsin-1A-interacting protein 1,99,0.063,0.254,0.0,0.01,0.212,0.0,0.022,0.212,0.002,0.048,0.212,0.001,0.021,0.212,,,
HTN1.10608.9.3,P15515,HTN1,Histatin-1,21,0.036,0.166,0.031,0.162,0.048,0.002,-0.009,0.095,0.025,0.124,0.095,0.001,0.036,0.095,,,
MPZ.10615.18.3,P25189,MPZ,Myelin protein P0,1,0.015,0.12,0.029,0.174,0.0,0.008,0.094,0.0,0.028,0.174,0.0,0.009,0.093,0.0,,,
MSMB.10620.21.3,P08118,MSMB,Beta-microseminoprotein,157,0.455,0.65,0.484,0.665,0.255,0.04,-0.21,0.586,0.001,0.014,0.586,0.029,-0.174,0.586,,,
PRR16.10621.26.3,Q569H4,PRR16,Protein Largen,1,0.01,0.072,0.0,-0.003,0.0,0.0,-0.016,0.0,0.001,0.032,0.0,0.0,,0.0,,,
ST6GALNAC3.10626.116.3,Q8NDV1,ST6GALNAC3,Alpha-N-acetylgalactosaminide alpha-2_6-sialyltransferase 3,13,0.028,0.16,,,,,,,,,,,,,,,
APLP2.10627.87.3,Q06481,APLP2,Amyloid-like protein 2,8,0.028,0.164,0.009,0.098,0.0,0.006,0.073,0.0,0.009,0.069,0.0,0.01,0.1,0.0,,,
HTATIP2.10630.5.3,Q9BUP3,HTATIP2,Oxidoreductase HTATIP2,11,0.031,0.167,0.0,-0.006,0.0,0.004,0.033,0.182,0.001,0.06,0.182,0.0,-0.009,0.182,,,
PGRMC2.10631.9.3,O15173,PGRMC2,Membrane-associated progesterone receptor component 2,54,0.059,0.24,,,,,,,,,,,,,,,
ASCC1.10647.18.3,Q8N9N2,ASCC1,Activating signal cointegrator 1 complex subunit 1,13,0.047,0.204,0.002,0.035,0.0,0.013,0.096,0.154,0.0,0.019,0.154,0.004,-0.095,0.154,,,
GNPTG.10666.7.3,Q9UJJ9,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,7,0.013,0.086,0.082,0.244,0.0,0.0,-0.002,0.143,0.009,0.093,0.143,0.006,0.026,0.143,,,
C1orf185.10667.78.3,Q5T7R7,C1orf185,Uncharacterized protein C1orf185,1,0.01,0.071,0.0,-0.006,0.0,0.0,,0.0,0.002,-0.047,0.0,0.0,,0.0,,,
SFTPB.10672.75.3,P07988,SFTPB,Pulmonary surfactant-associated protein B,9,0.115,0.324,0.079,0.269,0.111,0.07,0.27,0.222,0.044,0.228,0.222,0.053,0.218,0.222,,,
NDUFB4.10677.9.3,O95168,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,69,0.19,0.44,0.091,0.307,0.014,0.089,0.284,0.029,0.091,0.324,0.029,0.127,0.372,0.029,,,
DEFB119.10689.5.3,Q8N690,DEFB119,Beta-defensin 119,1,0.012,0.057,,,,,,,,,,,,,,,
LRP1.10699.52.3,Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1,7,0.026,0.073,0.006,0.063,0.0,0.003,0.063,0.143,0.023,0.084,0.143,0.001,0.009,0.143,,,
COL28A1.10702.1.3,Q2UY09,COL28A1,Collagen alpha-1(XXVIII) chain,2,0.02,0.116,0.0,0.008,0.0,0.0,-0.036,0.0,0.0,0.043,0.0,0.001,-0.039,0.0,,,
GNRH2.10708.3.3,O43555,GNRH2,Progonadoliberin-2,6,0.022,0.142,0.026,0.155,0.0,0.03,0.176,0.167,0.049,0.249,0.167,0.055,0.239,0.167,,,
PSMD5.10716.35.3,Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5,18,0.022,0.145,0.006,0.081,0.667,0.001,0.044,0.222,0.009,0.083,0.222,0.012,0.11,0.222,,,
SERPINB1.10737.96.3,P30740,SERPINB1,Leukocyte elastase inhibitor,3,0.022,0.122,0.002,0.055,0.0,0.002,0.054,0.0,0.007,0.095,0.0,0.001,0.024,0.0,,,
PCDHB2.10748.216.3,Q9Y5E7,PCDHB2,Protocadherin beta-2,3,0.019,0.105,0.006,0.073,0.0,0.0,0.012,0.0,0.0,0.006,0.0,0.002,0.039,0.0,,,
ADAM7.10753.31.3,Q9H2U9,ADAM7,Disintegrin and metalloproteinase domain-containing protein 7,17,0.056,0.229,0.038,0.198,0.0,0.041,0.161,0.0,0.018,0.13,0.0,0.062,0.22,0.0,,,
GRIA4.10760.107.3,P48058,GRIA4,Glutamate receptor 4,751,0.102,0.302,0.006,0.076,0.333,0.002,-0.037,0.226,0.004,0.057,0.226,0.001,0.018,0.226,,,
CSGALNACT2.10772.21.3,Q8N6G5,CSGALNACT2,Chondroitin sulfate N-acetylgalactosaminyltransferase 2,2,0.015,0.114,0.012,0.121,0.0,0.046,0.211,0.0,0.022,0.138,0.0,0.035,0.209,0.0,,,
PILRA.10816.150.3,Q9UKJ1,PILRA,Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14,408,0.694,0.791,0.669,0.794,0.039,0.613,0.758,0.203,0.602,0.771,0.203,0.677,0.822,0.203,,,
TOMM20L.10817.26.3,Q6UXN7,TOMM20L,TOMM20-like protein 1,3,0.025,0.147,0.0,0.011,0.0,0.0,-0.007,0.0,0.002,-0.072,0.0,0.005,-0.049,0.0,,,
B4GALT6.10832.24.3,Q9UBX8,B4GALT6,Beta-1_4-galactosyltransferase 6,35,0.141,0.193,0.125,0.186,0.0,0.008,-0.06,0.229,0.007,0.017,0.229,0.003,0.023,0.229,,,
HNRNPDL.10852.114.3,O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,78,0.156,0.369,0.0,-0.008,0.026,0.0,-0.022,0.103,0.004,-0.037,0.103,0.006,0.057,0.103,,,
GCNT4.10854.15.3,Q9P109,GCNT4,Beta-1_3-galactosyl-O-glycosyl-glycoprotein beta-1_6-N-acetylglucosaminyltransferase 4,4,0.03,0.152,,,,,,,,,,,,,,,
C6orf89.10885.36.3,Q6UWU4,C6orf89,Bombesin receptor-activated protein C6orf89,4,0.031,0.16,0.001,0.03,0.0,0.003,0.062,0.25,0.006,0.067,0.25,0.004,0.059,0.25,,,
OSMR.10892.8.3,Q99650,OSMR,Oncostatin-M-specific receptor subunit beta,3,0.016,0.121,0.038,0.205,0.0,0.0,0.031,0.0,0.017,0.134,0.0,0.019,0.156,0.0,,,
SCGN.10894.25.3,O76038,SCGN,Secretagogin,1,0.01,0.064,,,,,,,,,,,,,,,
STMN2.10900.272.3,Q93045,STMN2,Stathmin-2,79,0.162,0.379,0.0,-0.012,0.025,0.0,0.01,0.114,0.002,-0.022,0.114,0.006,0.047,0.114,,,
ASPRV1.10902.53.3,Q53RT3,ASPRV1,Retroviral-like aspartic protease 1,2,0.012,0.113,0.01,0.096,0.0,0.02,0.132,0.0,0.005,0.066,0.0,0.026,0.159,0.0,,,
STX8.10903.50.3,Q9UNK0,STX8,Syntaxin-8,21,0.039,0.201,0.0,-0.006,0.0,0.0,0.016,0.095,0.001,0.014,0.095,0.01,0.092,0.095,,,
PLA2R1.10916.44.3,Q13018,PLA2R1,Secretory phospholipase A2 receptor,284,0.436,0.673,0.238,0.491,0.018,0.162,0.384,0.063,0.142,0.35,0.063,0.119,0.319,0.063,,,
STX6.10945.11.3,O43752,STX6,Syntaxin-6,1,0.011,0.087,0.0,0.001,0.0,0.0,-0.008,0.0,0.001,0.022,0.0,0.005,0.067,0.0,,,
CLEC2A.10953.14.3,Q6UVW9,CLEC2A,C-type lectin domain family 2 member A,1,0.009,0.079,0.0,0.014,0.0,0.001,0.017,0.0,0.0,0.002,0.0,0.001,0.01,0.0,,,
CLEC10A.10955.4.3,Q8IUN9,CLEC10A,C-type lectin domain family 10 member A,1,0.012,0.112,0.0,0.005,0.0,0.001,0.026,0.0,0.004,-0.063,0.0,0.0,0.008,0.0,,,
BET1L.10959.125.3,Q9NYM9,BET1L,BET1-like protein,1,0.011,0.092,0.0,0.024,0.0,0.0,0.012,0.0,0.0,-0.01,0.0,0.0,0.019,0.0,,,
RARRES3.10961.15.3,Q9UL19,PLAAT4,Retinoic acid receptor responder protein 3,6,0.021,0.14,0.0,0.002,0.0,0.002,0.036,0.167,0.0,0.033,0.167,0.004,0.07,0.167,,,
ART3.10970.3.3,Q13508,ART3,Ecto-ADP-ribosyltransferase 3,31,0.08,0.283,,,,,,,,,,,,,,,
UCMA.10977.55.3,Q8WVF2,UCMA,Unique cartilage matrix-associated protein,39,0.136,0.362,0.062,0.254,0.0,0.082,0.295,0.077,0.033,0.176,0.077,0.073,0.306,0.077,,,
LRRK2.10990.21.3,Q5S007,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,21,0.075,0.274,0.004,0.064,0.048,0.0,0.017,0.048,0.038,0.2,0.048,0.006,0.069,0.048,0.003,0.117,0.19
BGLAP.11067.13.3,P02818,BGLAP,Osteocalcin,19,0.037,0.193,0.002,0.037,0.158,0.001,0.038,0.158,0.001,0.011,0.158,0.002,0.057,0.158,0.0,0.01,0.579
ENO2.11083.23.3,P09104,ENO2,Gamma-enolase,2,0.013,0.106,,,,,,,,,,,,,,,
IGHA1.IGHA2.11089.7.3,P01877|P01876,IGHA1|IGHA2,Immunoglobulin A,4,0.032,0.121,0.037,0.097,0.0,0.004,-0.064,0.0,0.008,-0.062,0.0,0.0,-0.033,0.0,,,
CLC.11094.104.3,Q05315,CLC,Galectin-10,1,0.013,0.105,0.0,0.014,0.0,0.001,-0.012,0.0,0.0,0.002,0.0,0.0,0.037,0.0,0.0,-0.013,0.0
N6AMT1.11096.57.3,Q9Y5N5,N6AMT1,HemK methyltransferase family member 2,23,0.043,0.204,0.0,-0.005,0.0,0.0,0.019,0.087,0.001,-0.02,0.087,0.004,0.054,0.087,0.0,0.001,0.435
PDXK.11098.1.3,O00764,PDXK,Pyridoxal kinase,47,0.079,0.265,0.0,-0.003,0.021,0.001,-0.051,0.128,0.0,-0.011,0.128,0.001,0.026,0.128,0.0,0.035,0.468
REG4.11102.22.3,Q9BYZ8,REG4,Regenerating islet-derived protein 4,9,0.039,0.163,0.015,0.098,0.222,0.032,0.181,0.333,0.016,0.148,0.333,0.014,0.108,0.333,0.024,0.166,0.222
HSPB1.11103.24.3,P04792,HSPB1,Heat shock protein beta-1,34,0.074,0.245,0.169,0.403,0.088,0.086,0.268,0.177,0.141,0.376,0.177,0.15,0.382,0.177,0.009,0.086,0.324
CHI3L1.11104.13.3,P36222,CHI3L1,Chitinase-3-like protein 1,79,0.6,0.814,0.576,0.796,0.0,0.354,0.58,0.063,0.538,0.755,0.063,0.379,0.612,0.063,0.278,0.523,0.013
ENO1.11105.171.3,P06733,ENO1,Alpha-enolase,22,0.051,0.203,0.0,0.001,0.0,0.0,0.021,0.136,0.0,-0.014,0.136,0.005,0.068,0.136,0.0,-0.033,0.5
TENM3.11107.25.3,Q9P273,TENM3,Teneurin-3,1,0.011,0.074,0.0,0.008,0.0,,,,,,,,,,,,
SVEP1.11109.56.3,Q4LDE5,SVEP1,Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1,36,0.133,0.331,0.148,0.355,0.028,0.023,0.158,0.083,0.137,0.353,0.083,0.022,0.147,0.083,,,
SPATA20.11117.2.3,Q8TB22,SPATA20,Spermatogenesis-associated protein 20,13,0.042,0.21,0.15,0.392,0.0,0.043,0.149,0.077,0.084,0.244,0.077,0.033,0.142,0.077,,,
NAT14.11120.49.3,Q8WUY8,NAT14,N-acetyltransferase 14,35,0.069,0.259,0.0,0.003,0.0,0.001,0.025,0.086,0.0,0.021,0.086,0.002,0.041,0.086,,,
VWC2.11121.56.3,Q2TAL6,VWC2,Brorin,16,0.104,0.309,,,,,,,,,,,,,,,
SPG21.11122.97.3,Q9NZD8,SPG21,Maspardin,70,0.129,0.346,0.0,-0.005,0.014,0.0,0.014,0.114,0.002,-0.048,0.114,0.007,0.083,0.114,,,
TMEM132C.11128.29.3,Q8N3T6,TMEM132C,Transmembrane protein 132C,1,0.012,0.104,0.0,0.011,0.0,0.002,-0.058,0.0,0.0,-0.021,0.0,0.002,-0.037,0.0,,,
MTRF1L.11134.30.3,Q9UGC7,MTRF1L,Peptide chain release factor 1-like_ mitochondrial,3,0.031,0.161,0.138,0.399,0.0,0.065,0.241,0.333,0.122,0.345,0.333,0.073,0.246,0.333,,,
RUNX3.11138.16.3,Q13761,RUNX3,Runt-related transcription factor 3,24,0.041,0.203,0.0,-0.009,0.0,0.011,0.084,0.125,0.0,0.03,0.125,0.002,0.027,0.125,,,
COL1A1.11140.56.3,P02452,COL1A1,Collagen alpha-1(I) chain,24,0.064,0.248,0.021,0.147,0.0,0.005,0.059,0.083,0.009,0.095,0.083,0.003,0.051,0.083,,,
ANGPTL1.11142.11.3,O95841,ANGPTL1,Angiopoietin-related protein 1,58,0.13,0.36,0.163,0.404,0.0,0.159,0.423,0.069,0.125,0.378,0.069,0.139,0.368,0.069,,,
KIAA1549L.11145.72.3,Q6ZVL6,KIAA1549L,UPF0606 protein KIAA1549L,17,0.039,0.193,0.151,0.409,0.0,0.078,0.29,0.0,0.068,0.276,0.0,0.045,0.205,0.0,,,
TBX22.11146.4.3,Q9Y458,TBX22,T-box transcription factor TBX22,2,0.012,0.086,0.0,0.018,0.0,0.0,-0.029,0.0,0.001,-0.05,0.0,0.0,0.009,0.0,,,
TREML1.11147.17.3,Q86YW5,TREML1,Trem-like transcript 1 protein,2,0.02,0.115,0.0,0.001,0.0,0.002,0.042,0.5,0.007,0.084,0.5,0.001,0.035,0.5,,,
TLR1.11149.3.3,Q15399,TLR1,Toll-like receptor 1,1,0.011,0.06,0.0,0.007,0.0,0.002,-0.047,0.0,0.001,0.03,0.0,0.003,0.058,0.0,,,
COL6A1.11150.3.3,P12109,COL6A1,Collagen alpha-1(VI) chain,22,0.03,0.174,,,,,,,,,,,,,,,
KLK13.11152.46.3,Q9UKR3,KLK13,Kallikrein-13,18,0.129,0.353,0.1,0.311,0.0,0.105,0.32,0.0,0.085,0.277,0.0,0.091,0.288,0.0,,,
NFE2L1.11154.3.3,Q14494,NFE2L1,Nuclear factor erythroid 2-related factor 1,16,0.031,0.168,0.0,0.002,0.0,0.001,0.051,0.125,0.0,-0.016,0.125,0.003,0.035,0.125,,,
MUL1.11159.14.3,Q969V5,MUL1,Mitochondrial ubiquitin ligase activator of NFKB 1,1,0.011,0.103,,,,,,,,,,,,,,,
RNF122.11160.56.3,Q9H9V4,RNF122,RING finger protein 122,7,0.05,0.225,0.004,0.059,0.0,0.0,-0.013,0.0,0.009,0.067,0.0,0.003,0.055,0.0,,,
MTMR1.11167.6.3,Q13613,MTMR1,Myotubularin-related protein 1,1,0.015,0.113,0.0,0.005,0.0,0.0,-0.025,0.0,0.001,0.028,0.0,0.0,-0.027,0.0,,,
MILR1.11173.29.3,Q7Z6M3,MILR1,Allergin-1,12,0.038,0.188,0.007,0.085,0.0,0.008,0.103,0.083,0.012,0.122,0.083,0.015,0.113,0.083,,,
