"PheCode","Phenotype","Category","Trait ID","Platform","Trait Description","Hazard Ratio","FDR adjusted P-value"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000280128","RNAseq","AL662795.2","1.39 (1.25 1.54)","5.56E-7"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211734","RNAseq","TRBV5-1","1.34 (1.22 1.47)","6.36E-7"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000137411","RNAseq","VARS2","0.75 (0.68 0.82)","1.31E-6"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000253570","RNAseq","","1.30 (1.19 1.42)","2.32E-6"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000134193","RNAseq","REG4","0.76 (0.69 0.84)","8.09E-6"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000204386","RNAseq","NEU1","0.77 (0.70 0.84)","9.82E-6"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211746","RNAseq","TRBV19","0.75 (0.68 0.83)","1.95E-5"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000204632","RNAseq","HLA-G","0.75 (0.68 0.83)","2.80E-5"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000286940","RNAseq","AL645933.4","0.77 (0.70 0.85)","1.05E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000162576","RNAseq","MXRA8","0.76 (0.69 0.85)","1.62E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000129654","RNAseq","FOXJ1","0.80 (0.73 0.87)","1.63E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000176998","RNAseq","","0.79 (0.72 0.86)","1.72E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000186470","RNAseq","BTN3A2","0.80 (0.73 0.87)","2.67E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211714","RNAseq","TRBV7-3","1.35 (1.20 1.51)","2.73E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000112812","RNAseq","PRSS16","1.23 (1.13 1.33)","5.92E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000134460","RNAseq","IL2RA","1.26 (1.14 1.38)","7.12E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000206341","RNAseq","","0.79 (0.71 0.87)","7.29E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211782","RNAseq","TRAV8-1","1.26 (1.14 1.38)","8.24E-4"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000187626","RNAseq","ZKSCAN4","1.24 (1.13 1.35)","1.14E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000204351","RNAseq","SKIV2L","0.78 (0.70 0.87)","1.54E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000234127","RNAseq","TRIM26","1.25 (1.14 1.38)","1.65E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000114737","RNAseq","CISH","1.25 (1.13 1.39)","3.25E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000276557","RNAseq","TRBV18","1.25 (1.13 1.38)","3.25E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000165617","RNAseq","DACT1","1.26 (1.13 1.40)","7.03E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000174807","RNAseq","CD248","0.81 (0.74 0.89)","7.03E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000250535","RNAseq","","0.78 (0.70 0.88)","7.89E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000283064","RNAseq","AL353759.1","1.25 (1.12 1.39)","9.56E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000120057","RNAseq","SFRP5","0.81 (0.73 0.90)","1.12E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000235663","RNAseq","SAPCD1-AS1","1.30 (1.14 1.47)","1.42E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000256039","RNAseq","LINC02446","0.82 (0.74 0.90)","1.47E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000272462","RNAseq","U91328.1","1.22 (1.10 1.34)","1.56E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000101442","RNAseq","ACTR5","1.23 (1.11 1.36)","1.79E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000204511","RNAseq","MCCD1","0.82 (0.75 0.91)","2.11E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000262488","RNAseq","","0.83 (0.76 0.91)","2.17E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000259877","RNAseq","AC009113.1","0.86 (0.80 0.93)","2.21E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000166278","RNAseq","C2","1.21 (1.10 1.33)","2.26E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000226979","RNAseq","LTA","0.82 (0.75 0.91)","2.46E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000196812","RNAseq","ZSCAN16","1.20 (1.09 1.31)","2.73E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000213676","RNAseq","ATF6B","1.21 (1.10 1.33)","2.73E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000226660","RNAseq","TRBV2","1.20 (1.09 1.32)","2.73E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000075975","RNAseq","MKRN2","0.80 (0.71 0.90)","2.80E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000204438","RNAseq","GPANK1","0.81 (0.72 0.90)","3.13E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000168685","RNAseq","IL7R","0.83 (0.74 0.91)","4.34E-2"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000139793","RNAseq","MBNL2","0.86 (0.79 0.93)","4.58E-2"
"70.9","Hepatitis NOS","infectious diseases","ENSG00000166908","RNAseq","PIP4K2C","1.19 (1.11 1.27)","1.13E-2"
"78","Viral warts & HPV","infectious diseases","ENSG00000204511","RNAseq","MCCD1","0.87 (0.83 0.92)","9.28E-3"
"112","Candidiasis","infectious diseases","TFF3.4721.54.2","SomaScan","Trefoil factor 3","0.93 (0.90 0.96)","1.45E-2"
"112","Candidiasis","infectious diseases","PDE4D.5255.22.3","SomaScan","cAMP-specific 3',5'-cyclic phosphodiesterase 4D","0.94 (0.91 0.96)","1.45E-2"
"112","Candidiasis","infectious diseases","HNF4A.10041.3.3","SomaScan","Hepatocyte nuclear factor 4-alpha","0.94 (0.91 0.97)","2.71E-2"
"112","Candidiasis","infectious diseases","FTMT.8048.9.3","SomaScan","Ferritin, mitochondrial","0.94 (0.91 0.97)","3.14E-2"
"112","Candidiasis","infectious diseases","ENSG00000120057","RNAseq","SFRP5","0.92 (0.89 0.95)","3.27E-4"
"112","Candidiasis","infectious diseases","ENSG00000162576","RNAseq","MXRA8","0.92 (0.89 0.95)","7.40E-4"
"112","Candidiasis","infectious diseases","ENSG00000134193","RNAseq","REG4","0.93 (0.91 0.96)","1.45E-2"
"112","Candidiasis","infectious diseases","ENSG00000174807","RNAseq","CD248","0.93 (0.91 0.96)","1.45E-2"
"112","Candidiasis","infectious diseases","ENSG00000256039","RNAseq","LINC02446","0.93 (0.91 0.96)","1.45E-2"
"112","Candidiasis","infectious diseases","ENSG00000181126","RNAseq","","0.93 (0.90 0.96)","2.01E-2"
"112","Candidiasis","infectious diseases","ENSG00000280128","RNAseq","AL662795.2","1.07 (1.04 1.10)","2.41E-2"
"112","Candidiasis","infectious diseases","ENSG00000256553","RNAseq","TRAV1-2","0.94 (0.91 0.97)","2.76E-2"
"112","Candidiasis","infectious diseases","ENSG00000230795","RNAseq","","0.94 (0.91 0.97)","3.90E-2"
"112","Candidiasis","infectious diseases","ENSG00000211734","RNAseq","TRBV5-1","1.06 (1.03 1.09)","3.90E-2"
"112","Candidiasis","infectious diseases","ENSG00000204613","RNAseq","TRIM10","0.94 (0.92 0.97)","4.41E-2"
"112","Candidiasis","infectious diseases","ENSG00000137411","RNAseq","VARS2","0.94 (0.91 0.97)","4.91E-2"
"112","Candidiasis","infectious diseases","ENSG00000204351","RNAseq","SKIV2L","0.94 (0.91 0.97)","4.91E-2"
"133","Arthropod-borne diseases","infectious diseases","ENSG00000242259","RNAseq","C22orf39","228.98 (23.21 2258.86)","4.86E-2"
"153.2","Colon cancer","neoplasms","ENSG00000273619","RNAseq","AL121832.2","1.07 (1.04 1.10)","1.86E-2"
"153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","neoplasms","ENSG00000273619","RNAseq","AL121832.2","1.08 (1.05 1.12)","3.70E-2"
"153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","neoplasms","ENSG00000276557","RNAseq","TRBV18","1.08 (1.04 1.11)","4.21E-2"
"155.1","Malignant neoplasm of liver, primary","neoplasms","O14594","Olink","Neurocan core protein","0.77 (0.71 0.84)","1.42E-5"
"155.1","Malignant neoplasm of liver, primary","neoplasms","ENSG00000129933","RNAseq","MAU2","0.79 (0.72 0.86)","1.84E-3"
"155.1","Malignant neoplasm of liver, primary","neoplasms","ENSG00000213999","RNAseq","MEF2B","0.90 (0.86 0.94)","9.16E-3"
"157","Pancreatic cancer","neoplasms","PNLIPRP1.6627.25.3","SomaScan","Inactive pancreatic lipase-related protein 1","0.87 (0.83 0.91)","9.53E-5"
"157","Pancreatic cancer","neoplasms","CD209.3029.52.2","SomaScan","CD209 antigen","1.14 (1.08 1.20)","5.47E-3"
"157","Pancreatic cancer","neoplasms","F8.13499.30.3","SomaScan","Coagulation Factor VIII","1.13 (1.08 1.19)","5.47E-3"
"157","Pancreatic cancer","neoplasms","IGF1R.4232.19.2","SomaScan","Insulin-like growth factor 1 receptor","0.89 (0.85 0.94)","1.10E-2"
"157","Pancreatic cancer","neoplasms","TUFT1.5690.49.3","SomaScan","Tuftelin","0.89 (0.85 0.94)","1.10E-2"
"157","Pancreatic cancer","neoplasms","ENG.4908.6.1","SomaScan","Endoglin","0.89 (0.85 0.94)","1.13E-2"
"157","Pancreatic cancer","neoplasms","SELE.3470.1.2","SomaScan","E-selectin","0.89 (0.85 0.94)","1.13E-2"
"157","Pancreatic cancer","neoplasms","ABO.9253.52.3","SomaScan","Histo-blood group ABO system transferase","1.12 (1.07 1.18)","1.42E-2"
"157","Pancreatic cancer","neoplasms","P15085","Olink","Carboxypeptidase A1","0.87 (0.83 0.91)","1.98E-5"
"157","Pancreatic cancer","neoplasms","P16581","Olink","E-selectin","0.88 (0.84 0.93)","5.47E-3"
"157","Pancreatic cancer","neoplasms","P04275","Olink","von Willebrand factor","1.13 (1.08 1.19)","5.47E-3"
"157","Pancreatic cancer","neoplasms","P56470","Olink","Galectin-4","0.88 (0.84 0.93)","5.93E-3"
"157","Pancreatic cancer","neoplasms","M17747","Metabolon","sphingosine","1.11 (1.06 1.17)","3.51E-2"
"157","Pancreatic cancer","neoplasms","ENSG00000130600","RNAseq","H19","1.12 (1.07 1.18)","1.10E-2"
"165.1","Cancer of bronchus; lung","neoplasms","CMA1.3423.59.2","SomaScan","Chymase","0.99 (0.98 0.99)","3.13E-2"
"165.1","Cancer of bronchus; lung","neoplasms","HLA.DQA2.7757.5.3","SomaScan","HLA class II histocompatibility antigen, DQ alpha 2 chain","0.94 (0.91 0.96)","3.22E-2"
"165.1","Cancer of bronchus; lung","neoplasms","M32445","Metabolon","3-methylxanthine","1.08 (1.05 1.11)","8.94E-3"
"165.1","Cancer of bronchus; lung","neoplasms","M43374","Metabolon","indolin-2-one","0.93 (0.90 0.96)","1.12E-2"
"165.1","Cancer of bronchus; lung","neoplasms","M46966","Metabolon","X - 12126","1.07 (1.04 1.10)","3.13E-2"
"165.1","Cancer of bronchus; lung","neoplasms","M46613","Metabolon","X - 12216","1.07 (1.04 1.10)","4.86E-2"
"165.1","Cancer of bronchus; lung","neoplasms","ENSG00000286388","RNAseq","AC026748.3","1.10 (1.07 1.13)","2.55E-5"
"165.1","Cancer of bronchus; lung","neoplasms","ENSG00000136381","RNAseq","IREB2","0.93 (0.90 0.96)","6.93E-3"
"165.1","Cancer of bronchus; lung","neoplasms","ENSG00000101019","RNAseq","UQCC1","0.94 (0.91 0.96)","3.22E-2"
"172","Skin cancer","neoplasms","PMEL.6472.40.3","SomaScan","Melanocyte protein PMEL","0.85 (0.82 0.89)","1.01E-7"
"172.1","Melanomas of skin, dx or hx","neoplasms","PMEL.6472.40.3","SomaScan","Melanocyte protein PMEL","0.77 (0.71 0.84)","1.95E-5"
"172.11","Melanomas of skin","neoplasms","PMEL.6472.40.3","SomaScan","Melanocyte protein PMEL","0.86 (0.84 0.88)","6.13E-31"
"172.11","Melanomas of skin","neoplasms","ASIP.5676.54.3","SomaScan","Agouti-signaling protein","1.13 (1.10 1.15)","3.67E-20"
"172.11","Melanomas of skin","neoplasms","KDELC2.8296.117.3","SomaScan","KDEL motif-containing protein 2","0.95 (0.93 0.97)","1.96E-2"
"172.11","Melanomas of skin","neoplasms","M22194","Metabolon","pyroglutamylglutamine","1.08 (1.05 1.11)","6.05E-6"
"172.11","Melanomas of skin","neoplasms","M00607","Metabolon","trans-urocanate","0.94 (0.92 0.97)","5.02E-3"
"172.11","Melanomas of skin","neoplasms","ENSG00000185324","RNAseq","CDK10","0.86 (0.84 0.88)","6.13E-31"
"172.11","Melanomas of skin","neoplasms","ENSG00000197912","RNAseq","SPG7","0.87 (0.85 0.89)","1.67E-24"
"172.11","Melanomas of skin","neoplasms","ENSG00000269981","RNAseq","","1.11 (1.08 1.14)","1.89E-13"
"172.11","Melanomas of skin","neoplasms","ENSG00000268903","RNAseq","","1.10 (1.07 1.13)","1.07E-10"
"172.11","Melanomas of skin","neoplasms","ENSG00000158792","RNAseq","SPATA2L","1.10 (1.07 1.12)","1.38E-9"
"172.11","Melanomas of skin","neoplasms","ENSG00000286388","RNAseq","AC026748.3","0.92 (0.89 0.94)","1.02E-8"
"172.11","Melanomas of skin","neoplasms","ENSG00000204991","RNAseq","SPIRE2","0.93 (0.90 0.95)","3.79E-5"
"172.11","Melanomas of skin","neoplasms","ENSG00000101460","RNAseq","MAP1LC3A","0.93 (0.91 0.96)","3.79E-5"
"172.11","Melanomas of skin","neoplasms","ENSG00000078747","RNAseq","ITCH","0.93 (0.91 0.96)","3.79E-5"
"172.11","Melanomas of skin","neoplasms","ENSG00000157601","RNAseq","MX1","0.94 (0.92 0.97)","3.56E-3"
"172.11","Melanomas of skin","neoplasms","ENSG00000147889","RNAseq","CDKN2A","0.94 (0.92 0.97)","3.93E-3"
"172.11","Melanomas of skin","neoplasms","ENSG00000140995","RNAseq","DEF8","0.94 (0.91 0.96)","5.02E-3"
"172.11","Melanomas of skin","neoplasms","ENSG00000180422","RNAseq","LINC00304","1.06 (1.03 1.08)","5.27E-3"
"172.11","Melanomas of skin","neoplasms","ENSG00000230724","RNAseq","LINC01001","1.06 (1.03 1.09)","7.48E-3"
"172.11","Melanomas of skin","neoplasms","ENSG00000238009","RNAseq","AL627309.1","1.05 (1.03 1.08)","3.77E-2"
"172.11","Melanomas of skin","neoplasms","ENSG00000099810","RNAseq","MTAP","1.05 (1.03 1.08)","3.77E-2"
"172.11","Melanomas of skin","neoplasms","ENSG00000177946","RNAseq","CENPBD1","0.95 (0.93 0.98)","3.77E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","ASIP.5676.54.3","SomaScan","Agouti-signaling protein","1.10 (1.09 1.11)","4.18E-54"
"172.2","Other non-epithelial cancer of skin","neoplasms","PMEL.6472.40.3","SomaScan","Melanocyte protein PMEL","0.91 (0.90 0.92)","4.21E-54"
"172.2","Other non-epithelial cancer of skin","neoplasms","GPNMB.8240.207.3","SomaScan","Transmembrane glycoprotein NMB","0.92 (0.91 0.93)","1.17E-29"
"172.2","Other non-epithelial cancer of skin","neoplasms","GPNMB.5080.131.3","SomaScan","Transmembrane glycoprotein NMB","0.93 (0.92 0.94)","1.95E-22"
"172.2","Other non-epithelial cancer of skin","neoplasms","IL12B.IL23A.10365.132.3","SomaScan","Interleukin-23","1.05 (1.03 1.06)","1.19E-10"
"172.2","Other non-epithelial cancer of skin","neoplasms","CTSS.3181.50.2","SomaScan","Cathepsin S","0.96 (0.95 0.97)","5.77E-8"
"172.2","Other non-epithelial cancer of skin","neoplasms","ZHX3.10036.201.3","SomaScan","Zinc fingers and homeoboxes protein 3","0.96 (0.95 0.98)","2.24E-6"
"172.2","Other non-epithelial cancer of skin","neoplasms","TFF3.8323.163.3","SomaScan","Trefoil factor 3","0.97 (0.96 0.98)","5.82E-5"
"172.2","Other non-epithelial cancer of skin","neoplasms","TFF3.4721.54.2","SomaScan","Trefoil factor 3","0.97 (0.96 0.98)","5.82E-5"
"172.2","Other non-epithelial cancer of skin","neoplasms","HNF4A.10041.3.3","SomaScan","Hepatocyte nuclear factor 4-alpha","0.97 (0.96 0.98)","5.10E-4"
"172.2","Other non-epithelial cancer of skin","neoplasms","PAXIP1.12894.3.3","SomaScan","PAX-interacting protein 1","0.97 (0.96 0.98)","1.00E-3"
"172.2","Other non-epithelial cancer of skin","neoplasms","FGF19.2762.30.2","SomaScan","Fibroblast growth factor 19","1.03 (1.01 1.04)","4.13E-3"
"172.2","Other non-epithelial cancer of skin","neoplasms","CTSH.8465.52.3","SomaScan","Cathepsin H","0.98 (0.96 0.99)","5.25E-3"
"172.2","Other non-epithelial cancer of skin","neoplasms","LRPAP1.8829.4.3","SomaScan","alpha-2-macroglobulin receptor-associated protein","1.02 (1.01 1.04)","5.29E-3"
"172.2","Other non-epithelial cancer of skin","neoplasms","G6B.7065.1.4","SomaScan","Protein G6b","1.03 (1.01 1.04)","5.81E-3"
"172.2","Other non-epithelial cancer of skin","neoplasms","LRPAP1.3640.14.3","SomaScan","alpha-2-macroglobulin receptor-associated protein","1.02 (1.01 1.04)","7.00E-3"
"172.2","Other non-epithelial cancer of skin","neoplasms","CPNE1.5346.24.3","SomaScan","Copine-1","1.02 (1.01 1.04)","8.31E-3"
"172.2","Other non-epithelial cancer of skin","neoplasms","PCDHGB1.11872.9.3","SomaScan","Protocadherin gamma-B1","1.02 (1.01 1.04)","1.06E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","POMGNT2.6359.50.3","SomaScan","Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2","1.02 (1.01 1.04)","1.34E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","ECM1.3366.51.2","SomaScan","Extracellular matrix protein 1","1.02 (1.01 1.04)","1.64E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","B2M.3485.28.2","SomaScan","Beta-2-microglobulin","1.02 (1.01 1.04)","1.64E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","UBE2G2.9199.6.3","SomaScan","Ubiquitin-conjugating enzyme E2 G2","0.98 (0.97 0.99)","1.81E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","FGF7.14031.18.3","SomaScan","Fibroblast growth factor 7","1.02 (1.01 1.04)","1.91E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","KDELC2.8296.117.3","SomaScan","KDEL motif-containing protein 2","0.98 (0.97 0.99)","1.96E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","STOM.8261.51.3","SomaScan","Erythrocyte band 7 integral membrane protein","0.98 (0.97 0.99)","2.19E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","FASLG.3052.8.2","SomaScan","Tumor necrosis factor ligand superfamily member 6, soluble form","1.02 (1.01 1.03)","2.26E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","CMPK1.8312.139.3","SomaScan","UMP-CMP kinase","0.98 (0.97 0.99)","2.44E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","ISOC1.9816.37.3","SomaScan","Isochorismatase domain-containing protein 1","1.02 (1.01 1.03)","2.65E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","CCL25.2705.5.2","SomaScan","C-C motif chemokine 25","1.02 (1.01 1.03)","2.65E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","SF1.12777.11.3","SomaScan","Splicing factor 1","1.02 (1.01 1.03)","3.08E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","TCN1.11232.46.3","SomaScan","Transcobalamin-1","0.98 (0.97 0.99)","3.12E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","PCOLCE.11237.49.3","SomaScan","Procollagen C-endopeptidase enhancer 1","1.02 (1.01 1.03)","3.12E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","C1QTNF5.7810.20.3","SomaScan","Complement C1q tumor necrosis factor-related protein 5","0.98 (0.97 0.99)","3.13E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","BPIFA2.5695.5.3","SomaScan","BPI fold-containing family A member 2","0.98 (0.97 0.99)","3.24E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","DOCK9.14002.18.3","SomaScan","Dedicator of cytokinesis protein 9","0.98 (0.97 0.99)","3.40E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","NSDHL.8038.41.3","SomaScan","Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating","1.02 (1.01 1.03)","3.42E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","FKBP14.9340.17.3","SomaScan","Peptidyl-prolyl cis-trans isomerase FKBP14","1.02 (1.01 1.03)","3.53E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","CD109.3290.50.2","SomaScan","CD109 antigen","0.98 (0.97 0.99)","3.73E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","SNX1.8807.13.3","SomaScan","Sorting nexin-1","0.98 (0.97 0.99)","4.18E-2"
"172.2","Other non-epithelial cancer of skin","neoplasms","RFESD.13603.7.3","SomaScan","Rieske domain-containing protein","1.02 (1.01 1.03)","4.71E-2"
